Record time (UTC), UTC Minute, Second, Stress Connection Count, Average Send QPS, Min Send QPS, Max Send QPS, Average Recv QPS, Min Recv QPS, Max Recv QPS, Average Send Error Count, Recv Error Count, Average Time Cost (usec), Min Time Cost (usec), Max Time Cost (usec), Interface QPS, Server UDP Session Count, Server UDP ARQ Session Count, load, load/cpu, ping/2 (msec), Recv Bytes/s, Send Bytes/s
Wed Apr  7 07:18:19 2021,26962998,19,100,9930,9921,9939,9930,9920,9939,0,0,215,210,232,0,101,101,0.020000 ~ 0.250000,0.005000 ~ 0.062500,0,2 M 757 K 373 B,1 M 118 K 546 B
Wed Apr  7 07:19:19 2021,26962999,19,100,9931,9924,9933,9931,9924,9933,0,0,210,205,217,8315,101,101,0.490000 ~ 0.800000,0.122500 ~ 0.200000,0,2 M 740 K 155 B,1 M 116 K 71 B
Wed Apr  7 07:20:19 2021,26963000,19,100,9930,9924,9933,9930,9925,9933,0,0,211,206,214,9924,101,101,0.450000 ~ 0.710000,0.112500 ~ 0.177500,0,2 M 737 K 378 B,1 M 111 K 769 B
Wed Apr  7 07:21:19 2021,26963001,19,100,9930,9925,9933,9930,9925,9932,0,0,209,205,215,9955,101,101,0.430000 ~ 0.670000,0.107500 ~ 0.167500,0,2 M 734 K 323 B,1 M 110 K 449 B
Wed Apr  7 07:22:19 2021,26963002,19,100,9930,9926,9933,9930,9926,9933,0,0,206,203,211,9927,101,101,0.480000 ~ 0.920000,0.120000 ~ 0.230000,0,2 M 735 K 271 B,1 M 113 K 902 B
Wed Apr  7 07:23:04 2021,26963003,4,100,9931,9928,9932,9931,9928,9932,0,0,207,203,211,9924,201,201,0.340000 ~ 0.680000,0.085000 ~ 0.170000,0,5 M 468 K 318 B,2 M 233 K 59 B
Wed Apr  7 07:23:19 2021,26963003,19,200,19860,19851,19866,19860,19852,19866,0,0,217,211,259,9924,201,201,0.340000 ~ 0.680000,0.085000 ~ 0.170000,0,5 M 468 K 318 B,2 M 233 K 59 B
Wed Apr  7 07:24:19 2021,26963004,19,200,19860,19854,19865,19860,19853,19866,0,0,217,211,223,17535,201,201,0.610000 ~ 1.400000,0.152500 ~ 0.350000,0,5 M 461 K 642 B,2 M 231 K 431 B
Wed Apr  7 07:25:19 2021,26963005,19,200,19860,19853,19864,19860,19852,19864,0,0,220,213,225,19886,201,201,1.070000 ~ 1.370000,0.267500 ~ 0.342500,0,5 M 446 K 444 B,2 M 222 K 419 B
Wed Apr  7 07:26:19 2021,26963006,19,200,19860,19851,19866,19860,19852,19866,0,0,220,213,231,19884,201,201,0.950000 ~ 1.340000,0.237500 ~ 0.335000,0,5 M 449 K 576 B,2 M 218 K 412 B
Wed Apr  7 07:27:19 2021,26963007,19,200,19860,19847,19866,19860,19847,19865,0,0,217,210,221,19825,201,201,1.120000 ~ 1.440000,0.280000 ~ 0.360000,0,5 M 450 K 790 B,2 M 218 K 420 B
Wed Apr  7 07:28:05 2021,26963008,5,200,19863,19861,19865,19863,19862,19865,0,0,214,210,219,19895,301,301,0.920000 ~ 1.320000,0.230000 ~ 0.330000,0,8 M 125 K 470 B,3 M 308 K 439 B
Wed Apr  7 07:28:13 2021,26963008,13,300,29791,29780,29804,29791,29784,29805,0,0,225,212,248,19895,301,301,0.920000 ~ 1.320000,0.230000 ~ 0.330000,0,8 M 125 K 470 B,3 M 308 K 439 B
Wed Apr  7 07:28:14 2021,26963008,14,200,19855,19855,19855,19855,19855,19855,0,0,224,222,227,19895,301,301,0.920000 ~ 1.320000,0.230000 ~ 0.330000,0,8 M 125 K 470 B,3 M 308 K 439 B
Wed Apr  7 07:28:19 2021,26963008,19,300,29789,29786,29792,29789,29788,29793,0,0,225,221,232,19895,301,301,0.920000 ~ 1.320000,0.230000 ~ 0.330000,0,8 M 125 K 470 B,3 M 308 K 439 B
Wed Apr  7 07:29:02 2021,26963009,2,300,29795,29790,29798,29796,29792,29798,0,0,223,217,231,26834,301,301,0.850000 ~ 1.470000,0.212500 ~ 0.367500,0,8 M 122 K 479 B,3 M 327 K 508 B
Wed Apr  7 07:29:03 2021,26963009,3,200,19862,19862,19862,19860,19860,19860,0,0,230,229,230,26834,301,301,0.850000 ~ 1.470000,0.212500 ~ 0.367500,0,8 M 122 K 479 B,3 M 327 K 508 B
Wed Apr  7 07:29:11 2021,26963009,11,300,29788,29781,29794,29788,29781,29795,0,0,230,223,236,26834,301,301,0.850000 ~ 1.470000,0.212500 ~ 0.367500,0,8 M 122 K 479 B,3 M 327 K 508 B
Wed Apr  7 07:29:12 2021,26963009,12,200,19864,19864,19864,19864,19864,19864,0,0,228,223,232,26834,301,301,0.850000 ~ 1.470000,0.212500 ~ 0.367500,0,8 M 122 K 479 B,3 M 327 K 508 B
Wed Apr  7 07:29:19 2021,26963009,19,300,29789,29779,29798,29789,29780,29799,0,0,231,226,237,26834,301,301,0.850000 ~ 1.470000,0.212500 ~ 0.367500,0,8 M 122 K 479 B,3 M 327 K 508 B
Wed Apr  7 07:30:01 2021,26963010,1,300,29791,29791,29792,29791,29790,29792,0,0,234,222,242,29799,301,301,1.200000 ~ 1.660000,0.300000 ~ 0.415000,0,8 M 120 K 275 B,3 M 321 K 769 B
Wed Apr  7 07:30:02 2021,26963010,2,200,19862,19862,19862,19863,19863,19863,0,0,240,235,245,29799,301,301,1.200000 ~ 1.660000,0.300000 ~ 0.415000,0,8 M 120 K 275 B,3 M 321 K 769 B
Wed Apr  7 07:30:14 2021,26963010,14,300,29789,29779,29798,29789,29781,29797,0,0,244,224,261,29799,301,301,1.200000 ~ 1.660000,0.300000 ~ 0.415000,0,8 M 120 K 275 B,3 M 321 K 769 B
Wed Apr  7 07:30:15 2021,26963010,15,200,19862,19862,19862,19861,19861,19861,0,0,233,230,235,29799,301,301,1.200000 ~ 1.660000,0.300000 ~ 0.415000,0,8 M 120 K 275 B,3 M 321 K 769 B
Wed Apr  7 07:30:19 2021,26963010,19,300,29793,29788,29799,29793,29788,29799,0,0,229,219,237,29799,301,301,1.200000 ~ 1.660000,0.300000 ~ 0.415000,0,8 M 120 K 275 B,3 M 321 K 769 B
Wed Apr  7 07:31:05 2021,26963011,5,300,29789,29780,29794,29789,29785,29794,0,0,227,220,235,29790,301,301,1.150000 ~ 1.920000,0.287500 ~ 0.480000,0,8 M 110 K 800 B,3 M 321 K 152 B
Wed Apr  7 07:31:06 2021,26963011,6,200,19858,19858,19858,19859,19859,19859,0,0,230,229,231,29790,301,301,1.150000 ~ 1.920000,0.287500 ~ 0.480000,0,8 M 110 K 800 B,3 M 321 K 152 B
Wed Apr  7 07:31:19 2021,26963011,19,300,29791,29780,29797,29791,29779,29797,0,0,230,222,243,29790,301,301,1.150000 ~ 1.920000,0.287500 ~ 0.480000,0,8 M 110 K 800 B,3 M 321 K 152 B
Wed Apr  7 07:32:07 2021,26963012,7,300,29788,29775,29797,29788,29776,29797,0,0,228,222,233,29711,301,301,1.770000 ~ 2.710000,0.442500 ~ 0.677500,0,8 M 117 K 589 B,3 M 308 K 407 B
Wed Apr  7 07:32:08 2021,26963012,8,200,19863,19863,19863,19862,19862,19862,0,0,230,225,236,29711,301,301,1.770000 ~ 2.710000,0.442500 ~ 0.677500,0,8 M 117 K 589 B,3 M 308 K 407 B
Wed Apr  7 07:32:19 2021,26963012,19,300,29790,29785,29798,29791,29786,29798,0,0,227,220,235,29711,301,301,1.770000 ~ 2.710000,0.442500 ~ 0.677500,0,8 M 117 K 589 B,3 M 308 K 407 B
Wed Apr  7 07:33:05 2021,26963013,5,300,29789,29786,29792,29789,29785,29795,0,0,227,222,235,29801,401,401,2.200000 ~ 2.780000,0.550000 ~ 0.695000,0,10 M 830 K 870 B,4 M 418 K 101 B
Wed Apr  7 07:33:06 2021,26963013,6,200,19857,19857,19857,19859,19859,19859,0,0,225,225,226,29801,401,401,2.200000 ~ 2.780000,0.550000 ~ 0.695000,0,10 M 830 K 870 B,4 M 418 K 101 B
Wed Apr  7 07:33:07 2021,26963013,7,300,29790,29790,29790,29788,29788,29788,0,0,226,220,234,29801,401,401,2.200000 ~ 2.780000,0.550000 ~ 0.695000,0,10 M 830 K 870 B,4 M 418 K 101 B
Wed Apr  7 07:33:19 2021,26963013,19,400,39720,39704,39729,39719,39704,39730,0,0,261,239,287,29801,401,401,2.200000 ~ 2.780000,0.550000 ~ 0.695000,0,10 M 830 K 870 B,4 M 418 K 101 B
Wed Apr  7 07:34:13 2021,26963014,13,400,39720,39705,39728,39720,39707,39728,0,0,247,236,264,36154,401,401,2.120000 ~ 2.780000,0.530000 ~ 0.695000,0,10 M 829 K 239 B,4 M 419 K 386 B
Wed Apr  7 07:34:14 2021,26963014,14,300,29794,29794,29794,29796,29796,29796,0,0,249,242,255,36154,401,401,2.120000 ~ 2.780000,0.530000 ~ 0.695000,0,10 M 829 K 239 B,4 M 419 K 386 B
Wed Apr  7 07:34:19 2021,26963014,19,400,39722,39715,39728,39721,39713,39729,0,0,247,239,254,36154,401,401,2.120000 ~ 2.780000,0.530000 ~ 0.695000,0,10 M 829 K 239 B,4 M 419 K 386 B
Wed Apr  7 07:35:05 2021,26963015,5,400,39719,39712,39725,39720,39712,39726,0,0,252,241,265,39720,401,401,2.190000 ~ 2.570000,0.547500 ~ 0.642500,0,10 M 827 K 192 B,4 M 415 K 993 B
Wed Apr  7 07:35:06 2021,26963015,6,300,29796,29796,29796,29794,29794,29794,0,0,245,237,253,39720,401,401,2.190000 ~ 2.570000,0.547500 ~ 0.642500,0,10 M 827 K 192 B,4 M 415 K 993 B
Wed Apr  7 07:35:16 2021,26963015,16,400,39718,39711,39730,39719,39711,39728,0,0,240,231,255,39720,401,401,2.190000 ~ 2.570000,0.547500 ~ 0.642500,0,10 M 827 K 192 B,4 M 415 K 993 B
Wed Apr  7 07:35:17 2021,26963015,17,300,29792,29792,29792,29793,29793,29793,0,0,237,235,239,39720,401,401,2.190000 ~ 2.570000,0.547500 ~ 0.642500,0,10 M 827 K 192 B,4 M 415 K 993 B
Wed Apr  7 07:35:19 2021,26963015,19,400,39727,39726,39729,39727,39723,39730,0,0,239,234,244,39720,401,401,2.190000 ~ 2.570000,0.547500 ~ 0.642500,0,10 M 827 K 192 B,4 M 415 K 993 B
Wed Apr  7 07:36:17 2021,26963016,17,400,39720,39708,39729,39720,39706,39729,0,0,243,233,255,39605,401,401,2.050000 ~ 2.940000,0.512500 ~ 0.735000,0,10 M 828 K 645 B,4 M 425 K 185 B
Wed Apr  7 07:36:18 2021,26963016,18,300,29785,29785,29785,29789,29789,29789,0,0,246,241,251,39605,401,401,2.050000 ~ 2.940000,0.512500 ~ 0.735000,0,10 M 828 K 645 B,4 M 425 K 185 B
Wed Apr  7 07:36:19 2021,26963016,19,400,39728,39728,39728,39727,39727,39727,0,0,250,243,256,39605,401,401,2.050000 ~ 2.940000,0.512500 ~ 0.735000,0,10 M 828 K 645 B,4 M 425 K 185 B
Wed Apr  7 07:37:13 2021,26963017,13,400,39719,39707,39726,39719,39709,39726,0,0,244,233,260,39730,401,401,1.930000 ~ 2.320000,0.482500 ~ 0.580000,0,10 M 824 K 651 B,4 M 414 K 709 B
Wed Apr  7 07:37:14 2021,26963017,14,300,29789,29789,29789,29791,29791,29791,0,0,246,243,252,39730,401,401,1.930000 ~ 2.320000,0.482500 ~ 0.580000,0,10 M 824 K 651 B,4 M 414 K 709 B
Wed Apr  7 07:37:19 2021,26963017,19,400,39721,39716,39726,39721,39715,39727,0,0,245,235,250,39730,401,401,1.930000 ~ 2.320000,0.482500 ~ 0.580000,0,10 M 824 K 651 B,4 M 414 K 709 B
Wed Apr  7 07:38:09 2021,26963018,9,400,39720,39709,39728,39720,39711,39729,0,0,247,235,313,39724,501,501,2.050000 ~ 2.680000,0.512500 ~ 0.670000,0,13 M 517 K 157 B,5 M 515 K 87 B
Wed Apr  7 07:38:19 2021,26963018,19,500,49645,49636,49663,49646,49635,49660,0,0,271,252,292,39724,501,501,2.050000 ~ 2.680000,0.512500 ~ 0.670000,0,13 M 517 K 157 B,5 M 515 K 87 B
Wed Apr  7 07:39:01 2021,26963019,1,500,49660,49658,49661,49658,49655,49661,0,0,284,261,309,45429,501,501,3.080000 ~ 3.670000,0.770000 ~ 0.917500,0,13 M 521 K 702 B,5 M 526 K 700 B
Wed Apr  7 07:39:02 2021,26963019,2,400,39713,39713,39713,39716,39716,39716,0,0,303,282,321,45429,501,501,3.080000 ~ 3.670000,0.770000 ~ 0.917500,0,13 M 521 K 702 B,5 M 526 K 700 B
Wed Apr  7 07:39:13 2021,26963019,13,500,49645,49633,49655,49645,49626,49657,0,0,282,262,330,45429,501,501,3.080000 ~ 3.670000,0.770000 ~ 0.917500,0,13 M 521 K 702 B,5 M 526 K 700 B
Wed Apr  7 07:39:14 2021,26963019,14,400,39730,39730,39730,39728,39728,39728,0,0,269,261,275,45429,501,501,3.080000 ~ 3.670000,0.770000 ~ 0.917500,0,13 M 521 K 702 B,5 M 526 K 700 B
Wed Apr  7 07:39:19 2021,26963019,19,500,49648,49644,49652,49647,49641,49653,0,0,267,250,280,45429,501,501,3.080000 ~ 3.670000,0.770000 ~ 0.917500,0,13 M 521 K 702 B,5 M 526 K 700 B
Wed Apr  7 07:40:04 2021,26963020,4,500,49645,49638,49654,49646,49640,49656,0,0,268,251,290,49667,501,501,2.400000 ~ 3.180000,0.600000 ~ 0.795000,0,13 M 518 K 610 B,5 M 520 K 774 B
Wed Apr  7 07:40:05 2021,26963020,5,400,39728,39728,39728,39725,39725,39725,0,0,270,255,287,49667,501,501,2.400000 ~ 3.180000,0.600000 ~ 0.795000,0,13 M 518 K 610 B,5 M 520 K 774 B
Wed Apr  7 07:40:15 2021,26963020,15,500,49649,49626,49658,49649,49631,49658,0,0,273,255,294,49667,501,501,2.400000 ~ 3.180000,0.600000 ~ 0.795000,0,13 M 518 K 610 B,5 M 520 K 774 B
Wed Apr  7 07:40:16 2021,26963020,16,400,39706,39706,39706,39707,39707,39707,0,0,276,269,289,49667,501,501,2.400000 ~ 3.180000,0.600000 ~ 0.795000,0,13 M 518 K 610 B,5 M 520 K 774 B
Wed Apr  7 07:40:19 2021,26963020,19,500,49642,49638,49649,49643,49639,49647,0,0,273,253,281,49667,501,501,2.400000 ~ 3.180000,0.600000 ~ 0.795000,0,13 M 518 K 610 B,5 M 520 K 774 B
Wed Apr  7 07:41:06 2021,26963021,6,500,49651,49645,49656,49651,49645,49657,0,0,278,255,309,49520,501,501,2.550000 ~ 3.440000,0.637500 ~ 0.860000,0,13 M 518 K 532 B,5 M 521 K 252 B
Wed Apr  7 07:41:07 2021,26963021,7,400,39714,39714,39714,39711,39711,39711,0,0,276,270,282,49520,501,501,2.550000 ~ 3.440000,0.637500 ~ 0.860000,0,13 M 518 K 532 B,5 M 521 K 252 B
Wed Apr  7 07:41:15 2021,26963021,15,500,49649,49637,49654,49649,49641,49654,0,0,267,250,283,49520,501,501,2.550000 ~ 3.440000,0.637500 ~ 0.860000,0,13 M 518 K 532 B,5 M 521 K 252 B
Wed Apr  7 07:41:16 2021,26963021,16,400,39723,39723,39723,39723,39723,39723,0,0,272,262,280,49520,501,501,2.550000 ~ 3.440000,0.637500 ~ 0.860000,0,13 M 518 K 532 B,5 M 521 K 252 B
Wed Apr  7 07:41:19 2021,26963021,19,500,49640,49633,49648,49642,49636,49652,0,0,272,263,282,49520,501,501,2.550000 ~ 3.440000,0.637500 ~ 0.860000,0,13 M 518 K 532 B,5 M 521 K 252 B
Wed Apr  7 07:42:03 2021,26963022,3,500,49653,49651,49656,49653,49651,49657,0,0,293,272,319,49669,501,501,2.780000 ~ 3.210000,0.695000 ~ 0.802500,0,13 M 517 K 142 B,5 M 509 K 959 B
Wed Apr  7 07:42:04 2021,26963022,4,400,39715,39715,39715,39714,39714,39714,0,0,298,282,315,49669,501,501,2.780000 ~ 3.210000,0.695000 ~ 0.802500,0,13 M 517 K 142 B,5 M 509 K 959 B
Wed Apr  7 07:42:11 2021,26963022,11,500,49650,49639,49661,49649,49639,49660,0,0,297,259,328,49669,501,501,2.780000 ~ 3.210000,0.695000 ~ 0.802500,0,13 M 517 K 142 B,5 M 509 K 959 B
Wed Apr  7 07:42:12 2021,26963022,12,400,39718,39718,39718,39718,39718,39718,0,0,306,265,323,49669,501,501,2.780000 ~ 3.210000,0.695000 ~ 0.802500,0,13 M 517 K 142 B,5 M 509 K 959 B
Wed Apr  7 07:42:19 2021,26963022,19,500,49645,49638,49651,49646,49637,49654,0,0,290,260,311,49669,501,501,2.780000 ~ 3.210000,0.695000 ~ 0.802500,0,13 M 517 K 142 B,5 M 509 K 959 B
